f_transfer_pct,q0,case,n_events,error_unclosed_pct,error_closed_pct,L_ratio,predicted_error_pct,error_residual_pct,L_analytical,L_residual
1,0.5,A,33,1.0074,0.0000,0.994950,1.0074,2.48e-12,0.994950,9.77e-15
1,1.0,B,33,0.0200,0.0000,0.999900,0.0200,5.42e-12,0.999900,2.73e-14
1,2.0,C,33,1.9696,0.0000,1.009800,1.9696,5.12e-12,1.009800,2.35e-14
2,0.5,A,66,2.0296,0.0000,0.989800,2.0296,7.57e-12,0.989800,3.29e-14
2,1.0,B,66,0.0800,0.0000,0.999600,0.0800,5.77e-13,0.999600,2.44e-15
2,2.0,C,66,3.8769,0.0001,1.019200,3.8769,1.73e-13,1.019200,4.66e-15
5,0.5,A,166,5.1811,0.0000,0.973750,5.1811,1.05e-12,0.973750,2.44e-15
5,1.0,B,166,0.4994,0.0000,0.997500,0.4994,1.88e-13,0.997500,1.33e-15
5,2.0,C,166,9.2025,0.0000,1.045000,9.2025,2.87e-12,1.045000,9.10e-15
10,0.5,A,333,10.6975,0.0000,0.945000,10.6975,7.99e-14,0.945000,1.79e-14
10,1.0,B,333,1.9900,0.0000,0.990000,1.9900,3.37e-13,0.990000,5.55e-16
10,2.0,C,333,16.6400,0.0000,1.080000,16.6400,1.12e-11,1.080000,4.75e-14
15,0.5,A,500,16.5061,0.0000,0.913750,16.5061,6.82e-12,0.913750,9.99e-16
15,1.0,B,500,4.4494,0.0000,0.977500,4.4494,7.23e-12,0.977500,2.90e-14
15,2.0,C,500,22.1025,0.0001,1.105000,22.1025,1.38e-12,1.105000,2.60e-14
