f_transfer_pct,q0,case,n_events,error_unclosed_pct,error_closed_pct,L_ratio,predicted_error_pct,error_residual_pct,L_analytical,L_residual
1,0.5,A,33,1.0074,0.0000,0.994950,1.0074,7.70e-14,0.994950,5.22e-15
1,1.0,B,33,0.0200,0.0000,0.999900,0.0200,1.93e-12,0.999900,9.66e-15
1,2.0,C,33,1.9696,0.0000,1.009800,1.9696,2.13e-12,1.009800,8.44e-15
2,0.5,A,66,2.0296,0.0000,0.989800,2.0296,1.22e-12,0.989800,1.33e-15
2,1.0,B,66,0.0800,0.0000,0.999600,0.0800,2.22e-13,0.999600,1.44e-15
2,2.0,C,66,3.8769,0.0001,1.019200,3.8769,9.69e-13,1.019200,6.66e-16
5,0.5,A,166,5.1811,0.0000,0.973750,5.1811,2.04e-12,0.973750,5.22e-15
5,1.0,B,166,0.4994,0.0000,0.997500,0.4994,1.72e-12,0.997500,7.99e-15
5,2.0,C,166,9.2025,0.0000,1.045000,9.2025,1.38e-12,1.045000,1.15e-14
10,0.5,A,333,10.6975,0.0000,0.945000,10.6975,4.16e-13,0.945000,1.75e-14
10,1.0,B,333,1.9900,0.0000,0.990000,1.9900,2.12e-12,0.990000,9.44e-15
10,2.0,C,333,16.6400,0.0000,1.080000,16.6400,1.47e-12,1.080000,1.11e-14
15,0.5,A,500,16.5061,0.0001,0.913750,16.5061,1.35e-12,0.913750,3.13e-14
15,1.0,B,500,4.4494,0.0000,0.977500,4.4494,1.95e-12,0.977500,1.89e-15
15,2.0,C,500,22.1025,0.0001,1.105000,22.1025,4.74e-12,1.105000,1.11e-14
